"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
45,1,2.57063e-05,-0.000517951,0,-2.45205e-06,-4.53279e-06,0,0.0005,0.217888,7.77882,0.056585,0.000388738,0.000394406,-4.97566e-05
48,1,-3.62764e-06,-0.00133008,0,-3.39859e-06,-8.56405e-06,0,0.0005,9.8756,0.148451,-0.168763,0.00112685,0.000917606,1.99029e-05
83,1,0.000521201,-0.000645873,0,-2.55024e-06,-6.25849e-06,0,0.00046,-0.634442,-4.59052,-1.20666,0.000253046,0.00124066,-1.5404e-05
19,1,-0.000355112,-0.00118291,0,-3.82185e-06,-6.83928e-06,0,0.00054,0.0708374,-5.63366,-0.0365872,0.00195658,0.000450946,-6.70462e-06
41,1,-0.00134779,-0.00247896,0,-3.75564e-06,-8.2089e-06,0,0.0005,-8.85191,-2.19887,0.632053,0.00262397,0.00108999,-3.72737e-05
90,1,-0.000686903,-0.00261171,0,-1.34888e-06,-2.94871e-06,0,0.00044,0.381542,7.6512,-1.35949,0.00184058,0.00152898,3.54547e-05
89,1,-0.00344828,-0.00191527,0,-8.80755e-06,-1.17774e-06,0,0.00044,-3.07924,-5.16555,2.18156,0.00333237,0.00150525,-1.5437e-06
29,1,-0.00144104,-0.00163862,0,-9.98405e-06,-3.97961e-06,0,0.00052,-0.237752,-11.398,2.20407,0.00475415,0.000426716,-1.24497e-05
4,1,-0.00127499,-0.00063703,0,2.44485e-06,4.33278e-07,0,0.00058,0.778021,6.15233,2.43005,0.00355564,0.000550265,-1.32742e-05
27,1,-0.00451164,-0.00313579,0,-1.79876e-05,4.99504e-06,0,0.00052,-1.07869,4.59011,-3.45337,0.00421764,0.00144798,3.7231e-06
28,1,-0.00386564,-0.00227677,0,-1.88114e-05,-9.73005e-07,0,0.00052,-7.2098,-2.83526,1.89488,0.0051934,0.00123756,-2.96738e-05
75,1,-0.00186816,-0.000587213,0,-7.20493e-06,1.13723e-06,0,0.00046,1.15904,12.6473,3.24438,0.00571964,0.000422389,-3.73089e-05
34,1,-0.00466532,-0.000955409,0,-2.11211e-05,1.97613e-06,0,0.00052,5.2705,2.8676,1.45493,0.00616679,0.00124738,-1.66342e-05
54,1,-0.00273836,-0.000223634,0,-8.95401e-06,4.34772e-06,0,0.0005,-0.267369,-10.5423,4.59271,0.00670785,0.000449239,3.04549e-05
46,1,-0.00254038,0.000895637,0,-7.32505e-06,7.7491e-06,0,0.0005,0.334137,1.53731,4.72889,0.00787458,0.000435132,4.04467e-05
68,1,-0.00590733,2.78371e-05,0,-1.45425e-05,1.17033e-05,0,0.00048,-4.96454,4.16493,1.67235,0.0073134,0.00117035,-2.23732e-05
42,1,-0.000440431,-0.00110887,0,1.89128e-06,4.86687e-06,0,0.0005,5.61508,4.28574,-10.0663,0.00857679,0.00107692,5.09221e-06
74,1,-0.00176965,-0.00187155,0,-2.32323e-06,5.4368e-07,0,0.00046,-0.67441,-9.33278,3.75024,0.00919403,0.000388357,-1.20537e-05
52,1,-0.000319566,-0.0043172,0,2.78058e-06,1.30996e-06,0,0.0005,0.831748,7.63927,-5.87242,0.00974167,0.00108385,3.91278e-05
60,1,0.00118358,-0.00212911,0,2.10431e-06,1.15785e-06,0,0.00048,0.35592,-7.01669,-2.81946,0.0106971,0.000401554,-3.28708e-05
6,1,0.0011826,-0.00359883,0,2.0981e-06,6.67888e-06,0,0.00056,0.160864,5.95594,0.45046,0.0115085,0.00098162,3.75182e-05
91,1,0.000607126,-0.00466069,0,2.19935e-06,7.29622e-07,0,0.00044,0.961181,-8.51917,3.86222,0.0106208,0.00123291,3.24564e-05
16,1,0.000698971,-0.0019168,0,1.333e-07,3.64378e-06,0,0.00054,-0.320433,-5.71482,-0.340224,0.0123843,0.00048038,-2.76781e-05
3,1,0.00107373,-0.00388355,0,-9.07685e-07,6.26136e-06,0,0.00058,-0.970279,2.2904,0.458958,0.0131184,0.00130286,-1.82355e-06
59,1,0.000627173,-0.00210035,0,-5.25459e-07,1.52887e-06,0,0.00048,-0.431177,6.58004,-1.29701,0.0133396,0.000362132,-3.96086e-06
67,1,0.000483672,-0.000945279,0,8.30067e-07,5.20975e-07,0,0.00048,-0.160193,2.22264,0.177403,0.014776,0.000381401,1.3181e-05
71,1,0.000637793,-0.00303168,0,-4.28505e-07,1.43835e-06,0,0.00048,3.81611,-4.36435,1.17762,0.0140473,0.000843816,-2.02466e-06
26,1,0.00380877,-0.00185577,0,4.7645e-06,-9.13264e-07,0,0.00052,1.29867,0.981233,-6.87976,0.0150717,0.00124783,-4.92787e-05
10,1,0.000759587,-0.0014394,0,4.93665e-06,-1.25094e-06,0,0.00056,-0.161462,-2.01866,-1.06431,0.0158038,0.000470799,-2.65834e-05
33,1,0.00401898,-0.0034648,0,6.66295e-06,-1.33059e-06,0,0.00052,-1.75981,-2.52761,-5.56075,0.0162066,0.0013511,-4.32784e-06
53,1,0.00176604,4.52802e-05,0,-5.54457e-06,-8.8718e-07,0,0.0005,-0.210069,-8.7734,-3.8174,0.0174704,0.00044436,-4.85386e-05
15,1,0.00332088,-0.000974129,0,-2.01721e-06,-4.22188e-06,0,0.00054,-4.87491,-0.284256,-0.792209,0.0179979,0.00125657,1.95463e-05
14,1,0.00114218,-0.000465394,0,-5.3296e-06,-4.6933e-06,0,0.00054,-0.00712019,7.87436,-1.45304,0.018517,0.000459958,-7.12572e-06
72,1,0.000525268,-0.000704378,0,-2.67714e-06,-1.96486e-06,0,0.00048,0.560896,-8.53303,-0.318625,0.0194728,0.000410924,1.69816e-05
57,1,0.00194608,-0.000888088,0,-1.39829e-07,-3.5921e-06,0,0.0005,3.36076,-3.93586,-1.7912,0.0191371,0.00126781,3.21045e-05
39,1,0.000661019,-0.00153976,0,-1.72112e-06,-9.17039e-06,0,0.0005,-8.39723,-2.83565,-1.60291,0.000976283,0.00181637,6.72355e-06
50,1,0.00160884,-0.000730422,0,1.03682e-06,-8.51414e-06,0,0.0005,0.806137,2.95716,-0.628888,5.46537e-05,0.00207885,-4.9345e-05
8,1,0.00142116,-0.00133983,0,1.92231e-07,-1.58365e-05,0,0.00056,6.33039,3.08001,0.0926606,0.000778919,0.00277993,2.40593e-05
81,1,0.000674463,-0.00273401,0,-2.94613e-06,1.72118e-07,0,0.00046,-2.01827,-5.35677,-1.49806,0.00168949,0.00238038,1.72248e-05
69,1,-0.00269413,-0.00288063,0,-1.22584e-05,-4.80888e-06,0,0.00048,9.18993,-2.53717,2.81472,0.00258132,0.00205315,3.70504e-05
88,1,-0.000762433,-0.00319045,0,-6.32469e-06,4.6347e-06,0,0.00044,-1.82342,-1.0223,2.62292,0.00223311,0.00301995,-4.19173e-06
7,1,-0.00371815,-0.00294501,0,-2.63422e-05,-3.3618e-06,0,0.00056,3.98374,6.86964,-1.74203,0.0035476,0.00238804,3.74342e-05
22,1,-0.00498894,-0.00432519,0,-2.0742e-05,-3.49607e-06,0,0.00054,7.13278,1.70781,1.01832,0.0049221,0.00215477,1.87838e-05
25,1,-0.00399056,-0.00465819,0,-1.97427e-05,-8.9164e-06,0,0.00052,-3.96403,-6.26944,-1.29551,0.00435995,0.00295728,-4.25165e-05
