"id","type","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
45,1,-1.14011e-05,-3.38698e-06,0,6.41785e-09,5.74328e-09,0,0.0005,-0.00109974,-0.0141367,0.0128149,0.000612869,0.000445472,-4.97566e-05
48,1,-2.93013e-05,-6.74898e-06,0,1.1701e-08,8.1206e-09,0,0.0005,-0.00995853,0.00176643,-0.006302,0.00148016,0.000913144,1.99029e-05
83,1,-3.73398e-05,-1.06693e-05,0,1.14267e-08,8.12488e-09,0,0.00046,0.000200763,0.00507256,0.0426777,0.000681942,0.00132239,-1.5404e-05
19,1,-1.99639e-05,-2.8273e-07,0,3.12956e-09,-1.8458e-10,0,0.00054,0.000129294,0.00385136,0.031382,0.00229223,0.000446352,-6.70462e-06
41,1,-3.43909e-05,-7.07001e-06,0,5.87153e-09,-1.90331e-08,0,0.0005,0.00473748,0.00152168,-0.0212461,0.00308745,0.00106925,-3.72737e-05
90,1,-3.61743e-05,4.79255e-07,0,1.06392e-08,1.74005e-09,0,0.00044,-0.00147317,-0.00464539,0.00747087,0.00228877,0.00137415,3.54547e-05
89,1,-4.01556e-05,-1.64849e-05,0,6.00463e-09,-2.89882e-08,0,0.00044,-0.00184745,-0.00095517,0.00732809,0.00384239,0.00148158,-1.5437e-06
4,1,-2.13862e-05,-2.98652e-06,0,-1.06408e-09,-3.38588e-08,0,0.00058,0.000613747,-0.00392255,0.0360706,0.0039534,0.000519401,-1.32742e-05
27,1,-3.71568e-05,-1.61038e-05,0,1.73823e-08,-4.51033e-08,0,0.00052,-0.00202374,-0.000162856,0.00454498,0.00470133,0.00137241,3.7231e-06
29,1,-1.74701e-05,-1.12026e-05,0,1.00634e-08,-2.38361e-08,0,0.00052,-0.000800127,0.0117707,0.0268263,0.005049,0.000455707,-1.24497e-05
28,1,-3.52961e-05,-8.17174e-06,0,2.07505e-08,-4.45997e-08,0,0.00052,0.00750493,-0.000889419,0.0102145,0.0056704,0.00122771,-2.96738e-05
75,1,-1.48948e-05,2.58928e-06,0,4.5465e-09,-1.71481e-08,0,0.00046,-0.00119177,-0.0145099,0.0301372,0.00599481,0.000390559,-3.73089e-05
34,1,-3.91512e-05,-8.99729e-06,0,3.02232e-08,-4.94204e-08,0,0.00052,-0.00287339,1.02561e-05,0.00120469,0.00662846,0.00130158,-1.66342e-05
54,1,-1.96068e-05,-3.38532e-06,0,1.49962e-08,-2.3813e-08,0,0.0005,-1.17581e-05,0.00793185,0.0389311,0.00696014,0.000429661,3.04549e-05
46,1,-2.02055e-05,-2.86972e-06,0,1.63022e-08,-1.96577e-08,0,0.0005,-0.000965579,-0.00369068,0.0396627,0.00795482,0.000404241,4.04467e-05
68,1,-3.81515e-05,-8.39917e-06,0,2.48188e-08,-3.13816e-08,0,0.00048,0.0042761,0.000320753,-0.00253773,0.00757437,0.00118126,-2.23732e-05
42,1,-2.86771e-05,-1.91541e-06,0,2.0305e-08,-3.42816e-08,0,0.0005,0.000161169,0.00346884,-0.0145829,0.00877267,0.000895918,5.09221e-06
74,1,-1.63597e-05,-2.10401e-06,0,9.69547e-09,-1.23974e-08,0,0.00046,0.000435529,-0.0044713,0.0292096,0.00959297,0.000424422,-1.20537e-05
80,1,-3.14629e-05,-2.59296e-06,0,1.44577e-08,-2.89314e-08,0,0.00046,0.00668383,0.000405915,0.0211242,0.00950854,0.00144703,1.80717e-05
52,1,-2.38403e-05,1.18845e-06,0,1.34635e-08,-2.41853e-08,0,0.0005,-0.005002,-0.000298944,-0.00267103,0.0102638,0.00104657,3.91278e-05
60,1,-1.08102e-05,1.22322e-06,0,5.99993e-09,-1.01157e-08,0,0.00048,4.91587e-05,0.00594208,0.0235784,0.0108125,0.000345828,-3.28708e-05
91,1,-2.09463e-05,4.89177e-06,0,7.79298e-09,-1.41513e-08,0,0.00044,0.00268144,-0.00100789,0.0114654,0.0111567,0.00103568,3.24564e-05
38,1,-3.05526e-05,1.84428e-05,0,1.35766e-08,-2.95203e-08,0,0.0005,0.00177145,0.00448791,0.0237823,0.0118451,0.00156325,2.40231e-05
6,1,-8.48665e-06,7.02261e-06,0,6.87746e-09,-1.69073e-08,0,0.00056,-0.00216945,0.00343691,0.010675,0.0118893,0.000516131,3.75182e-05
